  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1203
  ntimesa = 1203
  detb = 30.6261662733299254
 Z layer 1 =  20.3695

 Z layer 2 =  17.8504

 Z layer 3 =  15.4760

 Z layer 4 =  13.0000

 Z12 =   2.5191

 Z23 =   2.3744

 Z34 =   2.4760

 temp, average ekin =   249.910535      .387655
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
   20.90   -19.8600   -26.2512   -26.1774     6.3912   .000    4
   21.00   -19.8599   -26.2014   -26.1275     6.3415   .000    4
   21.10   -19.8598   -26.1511   -26.0774     6.2913   .000    5
   21.20   -19.8598   -26.1008   -26.0272     6.2410   .000    5
   21.30   -19.8597   -26.0512   -25.9777     6.1915   .000    4
   21.40   -19.8596   -26.0029   -25.9293     6.1433   .000    2
   21.50   -19.8595   -25.9565   -25.8831     6.0970   .000    5
   21.60   -19.8594   -25.9126   -25.8392     6.0532   .000    6
   21.70   -19.8594   -25.8719   -25.7985     6.0125   .000    4
   21.80   -19.8593   -25.8348   -25.7616     5.9755   .000    3
   21.90   -19.8592   -25.8019   -25.7288     5.9427   .000    4
   22.00   -19.8592   -25.7736   -25.7004     5.9144   .000    4
   22.10   -19.8591   -25.7503   -25.6773     5.8912   .000    4
   22.20   -19.8591   -25.7323   -25.6594     5.8732   .000    4
   22.30   -19.8591   -25.7197   -25.6469     5.8606   .000    4
   22.40   -19.8591   -25.7127   -25.6400     5.8536   .000    4
   22.50   -19.8591   -25.7111   -25.6386     5.8521   .000    4
   22.60   -19.8591   -25.7148   -25.6423     5.8558   .000    3
   22.70   -19.8590   -25.7236   -25.6512     5.8645   .000    4
   22.80   -19.8591   -25.7369   -25.6648     5.8778   .000    4
   22.90   -19.8591   -25.7543   -25.6823     5.8952   .000    4
   23.00   -19.8591   -25.7754   -25.7035     5.9162   .000    2
   23.10   -19.8592   -25.7993   -25.7276     5.9401   .000    4
   23.20   -19.8592   -25.8253   -25.7538     5.9661   .000    4
   23.30   -19.8592   -25.8529   -25.7815     5.9936   .000    3
   23.40   -19.8592   -25.8810   -25.8099     6.0218   .000    4
   23.50   -19.8593   -25.9091   -25.8382     6.0498   .000    4
   23.60   -19.8593   -25.9363   -25.8656     6.0769   .000    3
   23.70   -19.8594   -25.9617   -25.8912     6.1023   .000    4
   23.80   -19.8594   -25.9846   -25.9142     6.1252   .000    4
   23.90   -19.8595   -26.0042   -25.9342     6.1448   .000    3
   24.00   -19.8595   -26.0196   -25.9496     6.1602   .000    3
   24.10   -19.8595   -26.0301   -25.9603     6.1705   .000    4
   24.20   -19.8596   -26.0346   -25.9649     6.1750   .000    4
   24.30   -19.8597   -26.0323   -25.9627     6.1727   .000    4
   24.40   -19.8597   -26.0221   -25.9526     6.1624   .000    2
   24.50   -19.8598   -26.0030   -25.9335     6.1432   .000    4
   24.60   -19.8599   -25.9737   -25.9042     6.1138   .000    4
   24.70   -19.8600   -25.9329   -25.8633     6.0729   .000    4
   24.80   -19.8601   -25.8791   -25.8097     6.0191   .000    3
   24.90   -19.8602   -25.8111   -25.7414     5.9509   .000    4
   25.00   -19.8603   -25.7272   -25.6573     5.8669   .000    4
   25.10   -19.8604   -25.6260   -25.5560     5.7656   .000    4
   25.20   -19.8605   -25.5064   -25.4360     5.6459   .000    3
   25.30   -19.8605   -25.3672   -25.2966     5.5067   .000    4
   25.40   -19.8605   -25.2080   -25.1372     5.3475   .000    5
   25.50   -19.8605   -25.0289   -24.9577     5.1683   .000    5
   25.60   -19.8605   -24.8307   -24.7592     4.9702   .000    4
   25.70   -19.8603   -24.6155   -24.5436     4.7552   .000    4
   25.80   -19.8600   -24.3864   -24.3143     4.5265   .000    5
   25.90   -19.8596   -24.1482   -24.0757     4.2886   .000    4
   26.00   -19.8592   -23.9066   -23.8339     4.0475   .000    4
   26.10   -19.8586   -23.6691   -23.5960     3.8105   .000    4
   26.20   -19.8580   -23.4439   -23.3706     3.5858   .000    4
   26.30   -19.8574   -23.2398   -23.1663     3.3824   .000    4
   26.40   -19.8569   -23.0659   -22.9922     3.2090   .000    4
   26.50   -19.8564   -22.9304   -22.8565     3.0739   .000    4
   26.60   -19.8561   -22.8400   -22.7661     2.9839   .000    4
   26.70   -19.8560   -22.7997   -22.7257     2.9437   .000    4
   26.80   -19.8560   -22.8116   -22.7376     2.9556   .000    4
   26.90   -19.8562   -22.8753   -22.8013     3.0191   .000    4
   27.00   -19.8566   -22.9876   -22.9137     3.1310   .000    3
   27.10   -19.8571   -23.1429   -23.0692     3.2858   .000    4
   27.20   -19.8577   -23.3338   -23.2602     3.4761   .000    4
   27.30   -19.8583   -23.5516   -23.4783     3.6934   .000    4
   27.40   -19.8588   -23.7874   -23.7143     3.9286   .000    3
   27.50   -19.8594   -24.0323   -23.9594     4.1729   .000    4
   27.60   -19.8598   -24.2782   -24.2056     4.4184   .000    5
   27.70   -19.8601   -24.5181   -24.4459     4.6580   .000    5
   27.80   -19.8604   -24.7465   -24.6746     4.8862   .000    3
   27.90   -19.8605   -24.9591   -24.8874     5.0986   .000    3
   28.00   -19.8606   -25.1528   -25.0814     5.2921   .000    4
   28.10   -19.8606   -25.3257   -25.2547     5.4651   .000    5
   28.20   -19.8606   -25.4770   -25.4062     5.6163   .000    4
   28.30   -19.8605   -25.6061   -25.5356     5.7456   .000    3
   28.40   -19.8604   -25.7133   -25.6430     5.8528   .000    4
   28.50   -19.8604   -25.7987   -25.7285     5.9383   .000    5
   28.60   -19.8604   -25.8626   -25.7926     6.0022   .000    5
   28.70   -19.8604   -25.9052   -25.8354     6.0448   .000    2
   28.80   -19.8603   -25.9259   -25.8560     6.0657   .000    3
   28.90   -19.8603   -25.9245   -25.8546     6.0641   .000    4
   29.00   -19.8604   -25.8995   -25.8295     6.0391   .000    4
   29.10   -19.8606   -25.8494   -25.7795     5.9888   .000    4
   29.20   -19.8608   -25.7720   -25.7019     5.9112   .000    4
   29.30   -19.8611   -25.6645   -25.5942     5.8034   .000    3
   29.40   -19.8613   -25.5238   -25.4535     5.6625   .000    5
   29.50   -19.8617   -25.3468   -25.2764     5.4851   .000    4
   29.60   -19.8620   -25.1301   -25.0595     5.2682   .000    3
   29.70   -19.8622   -24.8712   -24.8006     5.0090   .000    5
   29.80   -19.8624   -24.5684   -24.4974     4.7060   .000    3
   29.90   -19.8623   -24.2215   -24.1506     4.3591   .000    5
   30.00   -19.8622   -23.8329   -23.7619     3.9707   .000    5
   30.10   -19.8618   -23.4080   -23.3369     3.5462   .000    5
   30.20   -19.8611   -22.9557   -22.8846     3.0946   .000    3
   30.30   -19.8601   -22.4892   -22.4180     2.6291   .000    4
   30.40   -19.8589   -22.0256   -21.9542     2.1667   .000    4
   30.50   -19.8576   -21.5855   -21.5140     1.7280   .000    4
   30.60   -19.8562   -21.1915   -21.1197     1.3353   .000    3
   30.70   -19.8549   -20.8662   -20.7947     1.0113   .000    3
   30.80   -19.8539   -20.6304   -20.5587      .7765   .000    4
   30.90   -19.8533   -20.5001   -20.4283      .6468   .000    5
   31.00   -19.8532   -20.4844   -20.4125      .6312   .000    3
   31.10   -19.8537   -20.5848   -20.5128      .7311   .000    4
   31.20   -19.8545   -20.7944   -20.7224      .9398   .000    5
   31.30   -19.8558   -21.0991   -21.0271     1.2433   .000    3
   31.40   -19.8571   -21.4797   -21.4076     1.6225   .000    4
   31.50   -19.8586   -21.9137   -21.8416     2.0552   .000    4
   31.60   -19.8599   -22.3784   -22.3061     2.5186   .000    3
   31.70   -19.8609   -22.8525   -22.7803     2.9916   .000    5
   31.80   -19.8617   -23.3176   -23.2454     3.4560   .000    5
   31.90   -19.8622   -23.7597   -23.6874     3.8975   .000    4
   32.00   -19.8624   -24.1683   -24.0959     4.3059   .000    2
   32.10   -19.8625   -24.5373   -24.4650     4.6749   .000    4
   32.20   -19.8623   -24.8637   -24.7913     5.0014   .000    5
   32.30   -19.8621   -25.1471   -25.0747     5.2850   .000    5
   32.40   -19.8617   -25.3891   -25.3167     5.5273   .000    3
   32.50   -19.8614   -25.5925   -25.5201     5.7311   .000    4
   32.60   -19.8610   -25.7609   -25.6885     5.8999   .000    4
   32.70   -19.8606   -25.8982   -25.8259     6.0376   .000    4
   32.80   -19.8603   -26.0084   -25.9362     6.1481   .000    3
   32.90   -19.8600   -26.0951   -26.0229     6.2351   .000    4
   33.00   -19.8598   -26.1618   -26.0897     6.3021   .000    5
   33.10   -19.8595   -26.2115   -26.1395     6.3520   .000    4
   33.20   -19.8593   -26.2469   -26.1748     6.3876   .000    3
   33.30   -19.8591   -26.2701   -26.1982     6.4110   .000    4
   33.40   -19.8590   -26.2830   -26.2113     6.4240   .000    4
   33.50   -19.8588   -26.2871   -26.2156     6.4282   .000    3
   33.60   -19.8587   -26.2836   -26.2120     6.4248   .000    5
   33.70   -19.8587   -26.2734   -26.2020     6.4147   .000    5
   33.80   -19.8586   -26.2572   -26.1859     6.3986   .000    4
   33.90   -19.8585   -26.2356   -26.1644     6.3771   .000    3
   34.00   -19.8585   -26.2090   -26.1380     6.3506   .000    4
   34.10   -19.8584   -26.1777   -26.1068     6.3193   .000    5
   34.20   -19.8584   -26.1419   -26.0712     6.2835   .000    4
   34.30   -19.8584   -26.1018   -26.0312     6.2434   .000    4
   34.40   -19.8583   -26.0575   -25.9871     6.1992   .000    4
   34.50   -19.8583   -26.0093   -25.9390     6.1510   .000    5
   34.60   -19.8583   -25.9573   -25.8871     6.0991   .000    4
   34.70   -19.8582   -25.9018   -25.8317     6.0436   .000    4
   34.80   -19.8582   -25.8430   -25.7731     5.9848   .000    4
   34.90   -19.8581   -25.7814   -25.7117     5.9233   .000    5
   35.00   -19.8581   -25.7174   -25.6478     5.8593   .000    4
   35.10   -19.8580   -25.6516   -25.5821     5.7936   .000    3
   35.20   -19.8579   -25.5847   -25.5154     5.7268   .000    4
   35.30   -19.8578   -25.5174   -25.4483     5.6596   .000    5
   35.40   -19.8577   -25.4507   -25.3818     5.5930   .000    5
   35.50   -19.8576   -25.3854   -25.3166     5.5278   .000    2
   35.60   -19.8575   -25.3227   -25.2540     5.4652   .000    3
   35.70   -19.8573   -25.2636   -25.1952     5.4063   .000    4
   35.80   -19.8572   -25.2091   -25.1410     5.3520   .000    4
   35.90   -19.8571   -25.1605   -25.0926     5.3033   .000    3
   36.00   -19.8571   -25.1185   -25.0507     5.2614   .000    4
   36.10   -19.8570   -25.0842   -25.0166     5.2272   .000    4
   36.20   -19.8569   -25.0581   -24.9908     5.2012   .000    4
   36.30   -19.8569   -25.0410   -24.9739     5.1841   .000    3
   36.40   -19.8568   -25.0330   -24.9661     5.1761   .000    4
   36.50   -19.8569   -25.0343   -24.9676     5.1774   .000    4
   36.60   -19.8569   -25.0447   -24.9782     5.1878   .000    4
   36.70   -19.8569   -25.0639   -24.9976     5.2070   .000    2
   36.80   -19.8569   -25.0914   -25.0253     5.2345   .000    2
   36.90   -19.8569   -25.1263   -25.0606     5.2693   .000    4
   37.00   -19.8570   -25.1677   -25.1022     5.3108   .000    5
   37.10   -19.8571   -25.2148   -25.1496     5.3577   .000    4
   37.20   -19.8571   -25.2664   -25.2014     5.4093   .000    2
   37.30   -19.8572   -25.3215   -25.2567     5.4643   .000    4
   37.40   -19.8573   -25.3790   -25.3144     5.5217   .000    4
   37.50   -19.8573   -25.4379   -25.3735     5.5805   .000    4
   37.60   -19.8573   -25.4972   -25.4331     5.6399   .000    2
   37.70   -19.8574   -25.5562   -25.4923     5.6988   .000    4
   37.80   -19.8574   -25.6140   -25.5504     5.7566   .000    4
   37.90   -19.8574   -25.6701   -25.6068     5.8127   .000    4
   38.00   -19.8574   -25.7240   -25.6608     5.8666   .000    2
   38.10   -19.8574   -25.7751   -25.7122     5.9177   .000    4
   38.20   -19.8575   -25.8232   -25.7605     5.9658   .000    3
   38.30   -19.8574   -25.8680   -25.8055     6.0106   .000    4
   38.40   -19.8574   -25.9093   -25.8470     6.0519   .000    4
   38.50   -19.8574   -25.9470   -25.8848     6.0896   .000    2
   38.60   -19.8574   -25.9808   -25.9187     6.1235   .000    4
   38.70   -19.8574   -26.0108   -25.9489     6.1534   .000    4
   38.80   -19.8574   -26.0367   -25.9748     6.1794   .000    4
   38.90   -19.8573   -26.0584   -25.9967     6.2011   .000    2
   39.00   -19.8573   -26.0758   -26.0141     6.2185   .000    4
   39.10   -19.8573   -26.0884   -26.0268     6.2311   .000    4
   39.20   -19.8573   -26.0959   -26.0344     6.2386   .000    4
   39.30   -19.8573   -26.0979   -26.0364     6.2406   .000    2
   39.40   -19.8573   -26.0936   -26.0321     6.2362   .000    4
   39.50   -19.8574   -26.0822   -26.0208     6.2248   .000    4
   39.60   -19.8575   -26.0627   -26.0013     6.2052   .000    3
   39.70   -19.8576   -26.0338   -25.9724     6.1762   .000    3
   39.80   -19.8577   -25.9940   -25.9327     6.1363   .000    4
   39.90   -19.8578   -25.9417   -25.8804     6.0839   .000    4
   40.00   -19.8580   -25.8748   -25.8135     6.0168   .000    4
   40.10   -19.8582   -25.7913   -25.7301     5.9331   .000    4
   40.20   -19.8584   -25.6888   -25.6276     5.8304   .000    5
   40.30   -19.8586   -25.5651   -25.5040     5.7065   .000    4
   40.40   -19.8588   -25.4178   -25.3567     5.5590   .000    3
   40.50   -19.8590   -25.2450   -25.1840     5.3860   .000    5
   40.60   -19.8591   -25.0452   -24.9842     5.1861   .000    5
   40.70   -19.8591   -24.8176   -24.7567     4.9585   .000    4
   40.80   -19.8591   -24.5627   -24.5019     4.7036   .000    2
   40.90   -19.8589   -24.2824   -24.2217     4.4234   .000    4
   41.00   -19.8586   -23.9802   -23.9197     4.1216   .000    5
   41.10   -19.8582   -23.6621   -23.6016     3.8039   .000    4
   41.20   -19.8576   -23.3359   -23.2755     3.4783   .000    3
   41.30   -19.8569   -23.0118   -22.9515     3.1549   .000    4
   41.40   -19.8560   -22.7018   -22.6416     2.8457   .000    5
   41.50   -19.8552   -22.4189   -22.3588     2.5637   .000    4
   41.60   -19.8544   -22.1766   -22.1166     2.3222   .000    2
   41.70   -19.8538   -21.9874   -21.9275     2.1337   .000    4
   41.80   -19.8533   -21.8617   -21.8019     2.0084   .000    4
   41.90   -19.8531   -21.8067   -21.7470     1.9536   .000    4
   42.00   -19.8532   -21.8256   -21.7659     1.9724   .000    2
   42.10   -19.8535   -21.9172   -21.8576     2.0636   .000    4
   42.20   -19.8541   -22.0760   -22.0165     2.2219   .000    4
   42.30   -19.8549   -22.2931   -22.2336     2.4382   .000    4
   42.40   -19.8557   -22.5567   -22.4973     2.7010   .000    2
   42.50   -19.8565   -22.8537   -22.7944     2.9972   .000    4
   42.60   -19.8573   -23.1708   -23.1116     3.3135   .000    4
   42.70   -19.8580   -23.4954   -23.4362     3.6375   .000    4
   42.80   -19.8585   -23.8166   -23.7573     3.9580   .000    2
   42.90   -19.8589   -24.1252   -24.0660     4.2663   .000    4
   43.00   -19.8591   -24.4145   -24.3554     4.5554   .000    4
   43.10   -19.8592   -24.6799   -24.6208     4.8207   .000    4
   43.20   -19.8592   -24.9188   -24.8597     5.0596   .000    2
   43.30   -19.8591   -25.1301   -25.0711     5.2710   .000    4
   43.40   -19.8589   -25.3140   -25.2550     5.4551   .000    4
   43.50   -19.8587   -25.4717   -25.4127     5.6130   .000    5
   43.60   -19.8585   -25.6049   -25.5460     5.7465   .000    3
   43.70   -19.8583   -25.7158   -25.6569     5.8575   .000    4
   43.80   -19.8581   -25.8065   -25.7476     5.9484   .000    5
   43.90   -19.8579   -25.8793   -25.8205     6.0214   .000    4
   44.00   -19.8577   -25.9364   -25.8775     6.0787   .000    4
   44.10   -19.8575   -25.9796   -25.9208     6.1221   .000    4
   44.20   -19.8574   -26.0107   -25.9519     6.1533   .000    4
   44.30   -19.8573   -26.0311   -25.9724     6.1738   .000    3
   44.40   -19.8571   -26.0419   -25.9833     6.1848   .000    4
   44.50   -19.8570   -26.0442   -25.9856     6.1872   .000    4
   44.60   -19.8570   -26.0387   -25.9802     6.1818   .000    4
   44.70   -19.8569   -26.0259   -25.9674     6.1690   .000    3
   44.80   -19.8569   -26.0062   -25.9476     6.1493   .000    4
   44.90   -19.8569   -25.9798   -25.9213     6.1229   .000    4
   45.00   -19.8568   -25.9468   -25.8883     6.0900   .000    3
   45.10   -19.8568   -25.9074   -25.8490     6.0507   .000    3
   45.20   -19.8567   -25.8617   -25.8032     6.0050   .000    4
   45.30   -19.8567   -25.8097   -25.7513     5.9530   .000    5
   45.40   -19.8567   -25.7517   -25.6933     5.8951   .000    3
   45.50   -19.8566   -25.6880   -25.6295     5.8314   .000    4
   45.60   -19.8566   -25.6191   -25.5606     5.7625   .000    5
   45.70   -19.8565   -25.5455   -25.4870     5.6890   .000    4
   45.80   -19.8564   -25.4681   -25.4095     5.6117   .000    2
   45.90   -19.8563   -25.3881   -25.3295     5.5318   .000    4
   46.00   -19.8561   -25.3067   -25.2481     5.4505   .000    5
   46.10   -19.8560   -25.2254   -25.1667     5.3694   .000    4
   46.20   -19.8559   -25.1460   -25.0873     5.2901   .000    4
   46.30   -19.8557   -25.0703   -25.0116     5.2145   .000    4
   46.40   -19.8556   -25.0002   -24.9414     5.1446   .000    4
   46.50   -19.8554   -24.9376   -24.8788     5.0822   .000    4
   46.60   -19.8553   -24.8844   -24.8255     5.0291   .000    3
   46.70   -19.8552   -24.8420   -24.7831     4.9868   .000    4
   46.80   -19.8551   -24.8120   -24.7530     4.9568   .000    4
   46.90   -19.8551   -24.7951   -24.7360     4.9400   .000    3
   47.00   -19.8550   -24.7920   -24.7328     4.9369   .000    4
   47.10   -19.8551   -24.8026   -24.7434     4.9476   .000    4
   47.20   -19.8551   -24.8267   -24.7674     4.9716   .000    2
   47.30   -19.8551   -24.8632   -24.8039     5.0081   .000    4
   47.40   -19.8552   -24.9112   -24.8518     5.0559   .000    5
   47.50   -19.8554   -24.9689   -24.9094     5.1135   .000    5
   47.60   -19.8555   -25.0346   -24.9750     5.1791   .000    2
   47.70   -19.8556   -25.1064   -25.0467     5.2508   .000    4
   47.80   -19.8557   -25.1823   -25.1227     5.3266   .000    4
   47.90   -19.8558   -25.2605   -25.2008     5.4047   .000    4
   48.00   -19.8559   -25.3392   -25.2794     5.4833   .000    2
   48.10   -19.8560   -25.4167   -25.3569     5.5607   .000    4
